Name ID,Description,Category Name,Combos
36A-Giggles,A series of different giggles from different people,Giggles,"Giggle Factory,Toilet Humour,36A-Giggles,""I Scream, You Scream"""
37A-Air Force US,Stereotypical sounds that somebody in the US Air Force for example a pilot Might Say,Air Force US,"Meow-verick Pilots,8 bit fly boys,37A-Air Force US,Fowl Play"
38A-Primate,Primates sounds orangutans chimpanzees gorilla etc,Primate,"Ape-pocalypse now,Primate Time,38A-Primate"
39A-Orc Laughter,Orc sounds lots of grunts and laughs giggles orc laughter,Orc Laughter,"Beauty and the Beast,Mordor Playtime,Mood Swings,Laughing Gas,39A-Orc Laughter"
40A-Pig,Various pig squeals or inks and grunts,Pig,"Pig Out,Pig Latin,""Shake, Rattle, and Oink"",40A-Pig"
41A-Pirate,Stereotypical phrases that a pirate Might Say,Pirate,"Yaar Haar Yodel,Pirates of the High C's,41A-Pirate"
42A-Dinger,Metal clanging sounds for example of a label hitting a saucepan,Dinger,"Bronze Age,""Shake, Rattle, and Oink"",42A-Dinger"
43A-Toilet,Various toilet flushing sounds,Toilet,"Toilet Humour,Potty Humour,43A-Toilet,Toilet Train"
44A-Thunder,And associated with lightning and bad weather cracks of thunder etc,Thunder,"Fart Nado,Thunder Struck,44A-Thunder,The Screaming"
45A-Surfer Dude,Sounds associated with the dim witted surface dude phrases that he might say,Surfer Dude,"Jersey Shore,Cowabunga,45A-Surfer Dude"
46A-Retro Gamer,Short electronic sound that we used to get with 1980s early video games,Retro Gamer,"Retro Sports,8 bit fly boys,46A-Retro Gamer"
47A-Sports Announcer,Stereotypical short phrases that might be uttered by an American sports announcer,Sports Announcer,"Retro Sports,Primate Time,47A-Sports Announcer"
48A-Mouth Sounds,Sounds that could be made with the mouth for example raspberries hiccups spitting clearing throat etc,Mouth Sounds,"Manners Please,Pig Out,48A-Mouth Sounds,""Eat, Pray, Love"""
49A-Kissing,Short kissing sounds,Kissing,"Love Locomotion,Teen Crush,49A-Kissing,Demon Kiss"
50A-Snoring,Snoring sounds,Snoring,"Snore & Horn,Snore Wars,50A-Snoring"
51A-Teen Girl,Teen valley girl common phrases such as what ever,Teen Girl,"Teen Crush,Sick and Sassy,51A-Teen Girl"
52A-Zombie,Zombie sounds,Zombie,"Brains and Beauty,Loco mortis,Burpocalypse Now,52A-Zombie"
53A-Mafia,Common phrases that a prohibition era mafia man Might Say,Mafia,"Chain Gang,Jersey Chainsaw Massacre,53A-Mafia,Don Corle-OWWW,The Italian Job"
54A-Rapper,Short phrases like yo and wassup that a wrapper Might Say,Rapper,"Barnyard Beats,Rapture,54A-Rapper,Velvet Voice Vibes"
55A-Bird Tweets,Bird tweet sounds,Bird Tweets,"55A-Bird Tweets,Angry Birds,Chicken Run"
56A-Spooky,Sounds that we associate with spookiness for example ghosts owls ominous organ music etc,Spooky,"56A-Spooky,Poultry Geist,Gutbusters,The Screaming,Hocus Pucus"
57A-Opera,Short sounds of opera singers either singing or practicing,Opera,"Whistle While you Sing,Pirates of the High C's,57A-Opera"
58A-New Jersey,Short stereotypical phrases that the inhabitants of New Jersey might say,New Jersey,"Jersey Shore,Jersey Chainsaw Massacre,58A-New Jersey"
59A-Todler,Cute little utterance that says from toddlers,Todler,"Toddler Tantrums,Sweet Chile O Mine,59A-Todler,Small Talk"
61A-RND,Random sounds from other categories. not to be used in combos.,RND,
62A-Police,"sirens, whistles, screaching car brakes - sounds associated with the police",Police,"62A-Police,Cat Burglar,The Italian Job"
63A-Crying,"adults and children crying and sobbing sounds and noises
",Crying,"Mood Swings,Toddler Tantrums,63A-Crying,Cryborg,Goodbye Cruel World"
64A-Dinosaur,"Shrieks, groans and roars form dinosaurs",Dinosaur,"Jurrasic Jam,Jurrasic Bark,64A-DInosaur"
65A-Drums,"short drum and cymbal sounds - bad joke baddun tisch  - different drum sounds
",Drums,"Drum Roll Please,Jungle Drums,65A-Drums"
66A-Ta Da,"Various Ways of making the ""Ta Da"" sound - musical and human to comedy sounds.",Ta Da,"Ta Da Boom,Drum Roll Please,66A-Ta Da,That's Show Business"
67A-Chainsaw,"Chainsaw sounds - false
 start and buzz",Chainsaw,"Chain Gang,Jersey Chainsaw Massacre,67A-Chainsaw"
68A-Cartoon Excitement,Cartoon characters  - quite squeaky - making cute giggles and noises,Cartoon Excitement,"68A-Cartoon Excitement,Looney Tunes"
69A-SYSTEM SOUNDS,SYSTEM SOUNDS,SYSTEM SOUNDS,
70A-Demon,The devil speaks and says silly things,Demon,"70A-Demon,Demon Kiss"
71A-Wind Instruments,"A Combination of clarinets, trumpets, trombones, tubas
",Wind Instruments,"71A-Wind Instruments,Sax and the kitty,Looney Tunes"
72A-Robot Voice,"Computer speaking short commands
",Robot Voice,"72A-Robot Voice,Cryborg,Blue Scream of Death"
73A-Race Cars,"Revving engines, and fast drive bys
",Race Cars,"73A-Race Cars,Fast and Flatulant,The Italian Job,Chicken Run"
74A-Ouch,"Ouch! Yelps and sounds from a human
",Ouch,"74A-Ouch,Don Corle-OWWW,Fifty Shades of Ouch"
76A-Incantations,Incantations - made up magic spells,Incantations,"76A-Incantations,Gutbusters,Hocus Pucus,Love Potion"
77A-I Love You,I love you in different languages,I Love You,"77A-I Love You,""Eat, Pray, Love"",Fifty Shades of Ouch,Love Potion"
78A-Hello Goodbye,Hello Goodbye in loads of lanuages,Hello Goodbye,"78A-Hello Goodbye,Hello Kitty,Small Talk,Goodbye Cruel World"
79A-Screams,"Scream sounds human - men, women, children",Screams,"79A-Screams,The Screaming,""I Scream, You Scream"",Blue Scream of Death"
80A-Jazz Scat,Jazz scat sounds and riffs,Jazz Scat,"Jazz Scat,Cat's Meow,Bebop Burps,That's Show Business,Velvet Voice Vibes"
81A-Witches,Witches sayings and cackles,Witches,"Witches,Hocus Pucus,Love Potion"
82A-Charging Sounds,Charging Sounds For organization,Charging Sounds,
83A-Final Goodbye,Final goodbye sounds on power down,Final Goodbye,
84A-Pre Goodbye,Pre-good bye - little reminder that we are about to power down,Pre Goodbye,
